,ko_id,gene_name,kegg_organism_code,uniprot_id
0,K00850,tpa:TP_0108,tpa,O83146
0,K00850,aba:Acid345_3032,aba,Q1IM67
0,K00850,fnu:FN0410,fnu,Q8RG98
0,K00850,bfr:BF3749,bfr,Q64PU0
0,K00850,tma:TM0209,tma,Q9WY52
0,K03841,eco:b4232,eco,P0A993
0,K03841,sfl:SF4258,sfl,P0A995
0,K03841,kpn:KPN_04626,kpn,A6THE3
0,K03841,ype:YPO3520,ype,Q0WBC9
0,K03841,hin:HI_1645,hin,P45292
0,K03841,vch:VC_2544,vch,Q9KP35
0,K03841,pae:PA5110,pae,Q9HU73
0,K03841,aeo:O23A_p1170,aeo,A0A0W0AS26
0,K03841,ngo:NGO_0862,ngo,Q5F8C3
0,K03841,bpe:BP0868,bpe,Q7VZM9
0,K03841,ais:BUW96_00225,ais,A0A6S7FHY9
0,K03841,hpy:HP_1385,hpy,O25936
0,K03841,tdn:Suden_1063,tdn,Q30RP0
0,K03841,cje:Cj0840c,cje,Q0PA50
0,K03841,ana:all4021,ana,P48991
0,K00008,eco:b1774,eco,P77280
0,K00008,rle:RL0651,rle,Q1MLK8
0,K00008,bsu:BSU06150,bsu,Q06004
0,K00008,sau:SA0239,sau,A0A0H3JSN8
0,K00008,sau:SA0240,sau,A0A0H3JJL9
0,K00008,sac:SACOL0233,sac,A0A0H2X0B3
0,K00008,sac:SACOL0235,sac,A0A0H2X040
0,K00008,lmo:lmo0506,lmo,Q8Y9M0
0,K00008,lmo:lmo2663,lmo,Q8Y414
0,K00008,lmo:lmo2664,lmo,Q8Y413
0,K00008,lin:lin0506,lin,Q92EF4
0,K00008,lin:lin2812,lin,Q927H6
0,K00008,lin:lin2813,lin,Q927H5
0,K00008,cbo:CBO3418,cbo,A5I7E3
0,K00008,msm:MSMEG_3094,msm,A0QWX1
0,K00008,msm:MSMEG_3605,msm,A0QYC0
0,K00008,pac:PPA0621,pac,Q6AA39
0,K00008,pac:PPA0918,pac,Q6A995
0,K00008,ana:alr2335,ana,Q8YUK9
0,K00008,ana:alr5117,ana,Q8YM24
0,K00008,aba:Acid345_1743,aba,Q1IQV6
0,K00008,aba:Acid345_1744,aba,Q1IQV5
0,K01623,rle:RL4012,rle,Q1MC30
0,K01623,sau:SA2399,sau,P99117
0,K01623,sac:SACOL2622,sac,Q5HCU6
0,K01623,sep:SE_2156,sep,Q8CMY5
0,K01623,msm:MSMEG_3507,msm,A0QY23
0,K01623,pac:PPA2024,pac,Q6A675
0,K01623,fnu:FN0322,fnu,Q8RGH3
0,K01803,eco:b3919,eco,P0A858
0,K01803,sfl:SF3997,sfl,P0A861
0,K01803,kpn:KPN_01120,kpn,A6T7I2
0,K01803,kpn:KPN_04005,kpn,A6TFQ6
0,K01803,ype:YPO0085,ype,Q8ZJK9
0,K01803,bab:bbp_285,bab,P59462
0,K01803,hin:HI_0678,hin,P43727
0,K01803,vch:VC_2670,vch,Q9KNR1
0,K01803,pae:PA4748,pae,Q9HV51
0,K01803,aeo:O23A_p0180,aeo,A0A1Z1NJP8
0,K01803,aeo:O23A_p1527,aeo,A0A0W0AW94
0,K01803,ngo:NGO_0017,ngo,Q5FAJ7
0,K01803,bpe:BP0801,bpe,Q7VZT5
0,K01803,rle:RL2513,rle,Q1MGC2
0,K01803,hpy:HP_0194,hpy,P56076
0,K01803,tdn:Suden_1752,tdn,Q30PQ5
0,K01803,cje:Cj1401c,cje,Q9PMQ6
0,K01803,bsu:BSU33920,bsu,P27876
0,K01803,ban:BA_5366,ban,Q81X76
0,K01803,sau:SA0729,sau,P99133
0,K01803,sac:SACOL0840,sac,Q5HHP3
0,K01803,sep:SE_0559,sep,Q8CTD5
0,K01803,lmo:lmo0346,lmo,Q8YA20
0,K01803,lmo:lmo2457,lmo,Q8Y4I3
0,K01803,lin:lin0364,lin,Q92EU4
0,K01803,lin:tpi,lin,Q928I1
0,K01803,lla:L0006,lla,P50918
0,K01803,spy:SPy_0613,spy,P69887
0,K01803,spn:SP_1574,spn,P66942
0,K01803,lac:LBA0700,lac,Q5FL49
0,K01803,efa:EF1962,efa,Q833J0
0,K01803,cbo:CBO0228,cbo,A5HYC1
0,K01803,mpn:MPN_629,mpn,P78010
0,K01803,mtu:Rv1438,mtu,P9WG43
0,K01803,msm:MSMEG_3086,msm,A0QWW4
0,K01803,cdi:DIP1308,cdi,Q6NH37
0,K01803,cdo:CDOO_07615,cdo,A0A097IG89
0,K01803,pac:PPA0818,pac,Q6A9J2
0,K01803,sen:SACE_2145,sen,A4FBM6
0,K01803,ana:alr4385,ana,Q8YP17
0,K01803,dra:DR_1339,dra,Q9RUP5
0,K01803,ctr:CT_328,ctr,O84332
0,K01803,bbu:BB_0055,bbu,Q59182
0,K01803,tpa:TP_0537,tpa,O83548
0,K01803,aba:Acid345_2544,aba,Q1INK5
0,K01803,fnu:FN1366,fnu,Q8RDX7
0,K01803,bfr:BF3956,bfr,Q64P83
0,K00863,kpn:KPN_03498,kpn,A6TEA9
0,K00863,rle:RL2900,rle,Q1MF84
0,K00863,ban:BA_0963,ban,A0A6H3AKB2
0,K00863,ban:BA_0965,ban,A0A6H3AHA0
0,K00863,cbo:CBO0975,cbo,A5I0G7
