,pathway_name,pathway_description,ko_id,gene_name,kegg_organism_code,uniprot_id
6624,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mmu:14121,mmu,Q9QXD6
6629,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,rno:24362,rno,P19112
6630,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,rno:114508,rno,Q9Z1N1
6639,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,maua:101822404,maua,A0A1U7R351
6640,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,maua:101835605,maua,A0A1U8CGL2
6657,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,hgl:101708632,hgl,A0A0N8ESW0
6658,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,cpoc:100731650,cpoc,A0A286XGR5
6659,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,cpoc:100732473,cpoc,H0V9T9
6681,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,cfa:476300,cfa,A0A8C0ME46
6702,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mpuf:101677003,mpuf,M3Y5K1
6703,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mpuf:101677302,mpuf,M3Y5K9
6722,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,fca:101084578,fca,M3VXP7
6723,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,fca:101084832,fca,M3WB78
6800,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mlf:102426329,mlf,G1NTX0
6867,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,gga:395218,gga,A0A8V0Y0D1
6889,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tgu:100219012,tgu,H0YQP8
6933,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,clv:102090122,clv,A0A2I0MFZ6
7049,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,acs:100561746,acs,A0A803SSG8
7088,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,xla:380220,xla,Q7SZA0
7089,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,xla:100381096,xla,Q66IR7
7090,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,xla:779029,xla,A0A974I195
7108,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,dre:445505,dre,Q68EJ6
7109,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,dre:282672,dre,Q7T337
7110,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,dre:335231,dre,Q6PFT1
7197,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,amex:103033769,amex,A0A8T2KQ05
7198,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,amex:103029226,amex,A0A8B9JAB5
7208,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tru:101069203,tru,H2UTK4
7210,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tru:101079325,tru,H2UTT7
7289,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ola:101156992,ola,A0A3B3HT21
7290,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ola:101160795,ola,H2N2S6
7304,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,pret:103470739,pret,A0A3P9PPL1
7306,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,pret:103473350,pret,A0A3P9Q7Z7
7328,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,nfu:107374907,nfu,A0A8C6L983
7329,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,nfu:107386106,nfu,A0A1A8AY89
7330,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,nfu:107386107,nfu,A0A9D2XNZ4
7483,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,bfo:118409841,bfo,A0A9J7KN57
7488,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,spu:577064,spu,A0A7M7RBZ5
7496,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,dme:Dmel_CG31692,dme,X2JES1
7586,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tca:656164,tca,D6WAS2
7667,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,dpx:DAPPUDRAFT_227042,dpx,E9H3I1
7703,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,cel:CELE_K07A3.1,cel,G5EBJ7
7736,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,nve:5506107,nve,A7SNH7
7749,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tad:TRIADDRAFT_37385,tad,B3RSK4
7750,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,aqu:100638089,aqu,A0A1X7UU22
7751,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ath:AT1G43670,ath,Q9MA79
7752,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ath:AT3G54050,ath,P25851
7753,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ath:AT5G64380,ath,Q9FMF1
7920,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mtr:11430747,mtr,G7IL84
7921,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mtr:11416430,mtr,G7JV43
7922,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mtr:25498664,mtr,A0A072U1Q8
7923,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mtr:25496103,mtr,G8A0S6
8328,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,osa:4332364,osa,O64422
8329,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,osa:4338912,osa,A7J2C3
8330,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,osa:4325071,osa,Q0JHF8
8331,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,osa:4341770,osa,A0A0P0X080
8344,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,bdi:100833448,bdi,I1GVV8
8345,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,bdi:100821589,bdi,I1HTQ8
8346,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,bdi:100834106,bdi,I1HJ10
8396,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,zma:100273700,zma,B4FUZ3
8397,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,zma:100281068,zma,B6SRX9
8398,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,zma:100216767,zma,B6TSK5
8399,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,zma:100284739,zma,B6TX09
8459,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_76003,smo,D8QTD0
8460,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_232133,smo,D8RRD1
8461,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_102526,smo,D8RVB3
8462,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_174833,smo,D8RW89
8463,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_175079,smo,D8RX96
8464,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_106738,smo,D8S215
8465,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_233607,smo,D8SBY7
8466,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_272310,smo,D8TBY3
8467,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_270139,smo,D8TFK8
8475,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,cre:CHLRE_12g510650v5,cre,A8IKQ0
8512,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,sce:YLR377C,sce,P09201
8534,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ppa:PAS_chr3_0868,ppa,C4R5T8
8555,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ncr:NCU04797,ncr,Q7S6N8
8598,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ani:AN5604.2,ani,G5EAZ6
8636,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,spo:SPBC1198.14c,spo,P09202
8638,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,cne:CNA00470,cne,Q5KQ48
8640,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,cng:CNAG_00057,cng,J9VKH0
8663,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,scm:SCHCO_02607718,scm,D8PVG2
8668,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,uma:UMAG_02703,uma,A0A0D1C717
8679,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ddi:DDB_G0270836,ddi,Q6RYT0
8683,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tet:TTHERM_00058590,tet,I7MDC9
8684,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tet:TTHERM_01035580,tet,Q24IA2
8700,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tps:THAPSDRAFT_256250,tps,B8BXS2
8701,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tps:THAPSDRAFT_5601,tps,B8C3D2
8702,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tps:THAPS_25437,tps,B5YM90
8710,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_420021,ehx,R1FJ80
8711,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_417528,ehx,R1DUE0
8712,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_455501,ehx,R1DGR1
8713,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_229121,ehx,R1F4L0
8714,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_434018,ehx,R1FII8
8715,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_101315,ehx,R1CH63
8716,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_54649,ehx,R1D6R9
8717,1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_248640,ehx,R1D5P2
12423,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,mcc:714090,mcc,H9ZD06
12466,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,mmu:21991,mmu,P17751
12469,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,rno:500959,rno,Q6SA19
12470,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,rno:24849,rno,P48500
12476,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,maua:101843280,maua,P86216
12498,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,cfa:477711,cfa,P54714
12511,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,mpuf:101680423,mpuf,A0A8U0T224
12522,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,fca:101085900,fca,M3X9A1
12600,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,gga:396435,gga,P00940
12611,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,tgu:100190753,tgu,B5KFL8
12690,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,acs:100565792,acs,H9GAG2
12710,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,xla:380168,xla,Q7ZWN5
12711,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,xla:108696046,xla,A0A1L8FIG2
12719,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,dre:192309,dre,Q1MTI4
12720,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,dre:560753,dre,Q90XG0
12774,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,amex:103040446,amex,A0A3B1IXW8
12775,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,amex:103043519,amex,A0A8B9GZ97
12781,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,tru:101068825,tru,H2TD56
12835,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ola:101165489,ola,H2LPP4
12836,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ola:100049499,ola,H2MB61
12861,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,nfu:107379470,nfu,A0A1A8A8E2
12956,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,bfo:118430375,bfo,A0A9J7MAR4
12958,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,cin:100183090,cin,F6RID7
12960,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,spu:548616,spu,A0A7M6UF05
12967,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,dme:Dmel_CG2171,dme,P29613
13067,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,tca:664393,tca,D2A042
13287,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,hmg:100206393,hmg,T2MEH2
13289,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,tad:TRIADDRAFT_38509,tad,B3SCI7
13292,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ath:AT2G21170,ath,Q9SKP6
13293,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ath:AT3G55440,ath,P48491
13432,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,mtr:25499344,mtr,A0A072U2W1
13433,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,mtr:25487887,mtr,I3S3S0
13762,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,osa:4347691,osa,A0A0N7KR63
13763,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,osa:4327400,osa,A0A0N7KE16
13764,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,osa:4325211,osa,P48494
13773,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,bdi:100842850,bdi,I1HC04
13774,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,bdi:100829343,bdi,I1IS83
13806,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,zma:100191222,zma,B4FTJ0
13807,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,zma:100193000,zma,A0A1D6ETY2
13808,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,zma:100194114,zma,B4FHH4
13809,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,zma:100272481,zma,P12863
13810,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,zma:100280823,zma,B6SMQ5
13868,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,smo:SELMODRAFT_73442,smo,D8QR59
13869,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,smo:SELMODRAFT_87313,smo,D8QR59
13870,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,smo:SELMODRAFT_157971,smo,D8SSS6
13871,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,smo:SELMODRAFT_447410,smo,D8SZK9
13878,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,cre:CHLRE_01g029300v5,cre,Q5S7Y5
13901,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,sce:YDR050C,sce,P00942
13921,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ppa:PAS_chr3_0951,ppa,C4R626
13942,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ncr:NCU07550,ncr,Q7S2Z9
13943,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ncr:NCU10106,ncr,A7UWK5
13994,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ani:AN5908.2,ani,Q5B0M2
13995,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ani:AN6900.2,ani,P04828
14054,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,spo:SPCC24B10.21,spo,P07669
14056,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,cne:CNE05000,cne,Q5KG36
14058,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,cng:CNAG_02035,cng,J9VT31
14081,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,scm:SCHCO_02642095,scm,D8QM05
14086,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,uma:UMAG_03299,uma,A0A0D1DYK6
14103,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ddi:DDB_G0274471,ddi,Q869R8
14154,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,tet:TTHERM_00185230,tet,Q22T89
14164,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,tps:THAPS_30380,tps,B5YLS7
14174,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ehx:EMIHUDRAFT_438339,ehx,R1BGG4
14175,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ehx:EMIHUDRAFT_446527,ehx,R1BAE6
22426,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,mcc:709122,mcc,A0A1D5QBK6
22427,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,mcc:707866,mcc,H9FVY1
22471,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,mmu:29858,mmu,O35621
22472,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,mmu:54128,mmu,Q9Z2M7
22477,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,rno:300089,rno,A6HT35
22478,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,rno:302915,rno,B5DF46
22487,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,maua:101822891,maua,A0A1U7RD08
22502,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,hgl:101704182,hgl,G5BPP9
22504,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,cpoc:100716730,cpoc,A0A286XCJ4
22505,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,cpoc:100725878,cpoc,A0A286Y5U0
22548,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,mpuf:101675584,mpuf,M3YTG9
22549,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,mpuf:101680446,mpuf,M3YY77
22568,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,fca:101080900,fca,A0A2I2UX50
22651,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,mlf:102426735,mlf,G1NY02
22715,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,gga:427679,gga,Q5ZJ50
22781,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,clv:102086674,clv,A0A2I0M477
22889,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,acs:100557563,acs,G1KD11
22928,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,xla:444370,xla,Q6GNE0
22929,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,xla:447608,xla,Q66IS4
22930,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,xla:495465,xla,Q5U4M6
22948,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,dre:368229,dre,Q7ZTZ3
22949,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,dre:100007686,dre,A0A8M1RII2
23008,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,amex:103032981,amex,A0A8B9KMY0
23069,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,ola:101169859,ola,H2MGQ1
23097,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,nfu:107376315,nfu,A0A1A7Z9G6
23098,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,nfu:107394455,nfu,A0A1A7ZBR8
23213,2hsa00051,Fructose and mannose metabolism - Homo sapiens (human)K17497,bfo:118429743,bfo,C3YWF0
