ko_id,gene_name
K01809,ppam:129064197
K01809,pale:102890113
K01809,pgig:120597882
K01809,pvp:105306842
K01809,ray:107510526
K01809,mjv:108402085
K01809,tod:119238413
K01809,sara:101545422
K01809,lav:100667321
K01809,tmu:101360572
K01809,etf:101662481
K01809,dnm:101430915
K01809,mdo:100030023
K01809,gas:123232973
K01809,shr:100928228
K01809,afz:127551974
K01809,pcw:110213931
K01809,oaa:100081165
K01809,gga:769765
K01809,pcoc:116244537
K01809,mgp:100545896
K01809,cjo:107318569
K01809,tpai:128075241
K01809,lmut:125698284
K01809,nmel:110403747
K01809,apla:101791739
K01809,acyg:106044192
K01809,cata:118258117
K01809,aful:116493438
K01809,tgu:115496604
K01809,lsr:110479749
K01809,scan:103823189
K01809,pmoa:120512924
K01809,otc:121343445
K01809,pruf:121365502
K01809,gfr:102035049
K01809,fab:101807091
K01809,oma:130257209
K01809,phi:102111704
K01809,pmaj:107209158
K01809,ccae:111934273
K01809,ccw:104697439
K01809,cbrc:103622918
K01809,etl:114059606
K01809,zab:102068271
K01809,achl:103807178
K01809,svg:106854963
K01809,mmea:130575076
K01809,hrt:120758565
K01809,fpg:101911406
K01809,fch:102048942
K01809,clv:102083521
K01809,egz:104130842
K01809,nni:104016805
K01809,pcri:104033688
K01809,ehs:104510172
K01809,acun:113483856
K01809,tala:116961029
K01809,afor:103898615
K01809,achc:115341472
K01809,hle:104834385
K01809,agen:126043863
K01809,gcl:127020487
K01809,ccri:104167425
K01809,csti:104552674
K01809,mui:104546964
K01809,ldi:104352107
K01809,shab:115613227
K01809,dpub:104310180
K01809,pguu:104467591
K01809,acar:104528406
K01809,cpea:104391988
K01809,avit:104276271
K01809,cvf:104287960
K01809,rtd:128914884
K01809,cuca:104066271
K01809,teo:104384107
K01809,aam:106497774
K01809,arow:112967222
K01809,npd:112959092
K01809,tgt:104576265
K01809,dne:112993056
K01809,scam:104143372
K01809,asn:102379613
K01809,amj:102561768
K01809,pss:102454725
K01809,cmy:102937892
K01809,ccay:125643539
K01809,dcc:119862105
K01809,cpic:101940080
K01809,tst:117883601
K01809,cabi:116836309
K01809,mrv:120373151
K01809,acs:100553935
K01809,asao:132762495
K01809,pvt:110090526
K01809,sund:121932439
K01809,pbi:103063604
K01809,pmur:107293394
K01809,ctig:120305534
K01809,tsr:106549481
K01809,pgut:117661060
K01809,apri:131184678
K01809,ptex:113442228
K01809,nss:113427296
K01809,vko:123033746
K01809,pmua:114603998
K01809,praf:128420880
K01809,zvi:118083698
K01809,hcg:128334775
K01809,gja:107117754
K01809,stow:125424431
K01809,emc:129345449
K01809,xla:108711318
K01809,xla:733350
K01809,xtr:100379729
K01809,npr:108789007
K01809,rtem:120931474
K01809,bbuf:120985672
K01809,bgar:122927736
K01809,muo:115457140
K01809,gsh:117348658
K01809,dre:613246
K01809,srx:107724648
K01809,srx:107745564
K01809,sanh:107669041
K01809,sgh:107549577
K01809,caua:113042864
K01809,caua:113042943
K01809,cgib:128014554
K01809,ptet:122330747
K01809,lroh:127157057
K01809,omc:131534506
K01809,pprm:120472210
K01809,rkg:130106445
K01809,mamb:125248016
K01809,cide:127506536
K01809,masi:127436070
K01809,masi:127437651
K01809,tros:130550086
K01809,tdw:130414124
K01809,manu:129433831
K01809,ipu:108275405
K01809,ifu:128618619
K01809,phyp:113530054
K01809,smeo:124392949
K01809,tfd:113653960
K01809,tvc:132856934
K01809,amex:103046304
K01809,cmao:118811872
K01809,eee:113583578
K01809,char:122130613
K01809,tru:101070057
K01809,tfs:130536777
K01809,tng:GSTEN00019688G001
K01809,lco:104932120
K01809,ncc:104962682
K01809,tben:117497274
K01809,cgob:115009462
K01809,pgeo:117448080
K01809,gacu:117559374
K01809,ely:117262583
K01809,efo:125886940
K01809,plep:121950217
K01809,plep:121959030
K01809,sluc:116060316
K01809,ecra:117948904
K01809,esp:116694317
K01809,pflv:114560374
K01809,gat:120809566
K01809,ppug:119195628
K01809,afb:129108103
K01809,clum:117731829
K01809,msam:119893542
K01809,schu:122874622
K01809,cud:121515350
K01809,alat:119024292
K01809,mze:101468037
K01809,onl:100692107
K01809,oau:116313943
K01809,ola:101157532
K01809,oml:112141246
K01809,xma:102222966
K01809,xco:114150669
K01809,xhe:116736981
K01809,pret:103465971
K01809,pfor:103152840
K01809,plai:106953011
K01809,pmei:106924125
K01809,gaf:122835972
K01809,pprl:129366633
K01809,cvg:107093203
K01809,ctul:119793971
K01809,gmu:124855801
K01809,nfu:107380834
K01809,kmr:108245743
K01809,alim:106526637
K01809,nwh:119415400
K01809,aoce:111570094
K01809,mcep:125014896
K01809,csem:103379910
K01809,pov:109624572
K01809,ssen:122776253
K01809,hhip:117763671
K01809,hsp:118109966
K01809,lcf:108883011
K01809,sdu:111229729
K01809,slal:111650446
K01809,xgl:120793829
K01809,hcq:109518237
K01809,sscv:125970680
K01809,sbia:133501647
K01809,pee:133403186
K01809,ptao:133477942
K01809,bpec:110169157
K01809,malb:109973480
K01809,bspl:114857697
K01809,sjo:128358707
K01809,sasa:106560745
K01809,sasa:106584640
K01809,sasa:106599274
K01809,sasa:106594018
K01809,stru:115191562
K01809,stru:115197118
K01809,otw:112218286
K01809,omy:110491879
K01809,ogo:124039834
K01809,one:115134533
K01809,oki:109867353
K01809,oke:118396385
K01809,salp:111962090
K01809,snh:120066086
K01809,cclu:121532113
K01809,cclu:121540805
K01809,els:105028539
K01809,sfm:108942369
K01809,pki:111857405
K01809,aang:118215791
K01809,loc:102694204
K01809,pspa:121294382
K01809,arut:117429003
K01809,psex:120541446
K01809,lcm:102356721
K01809,cmk:103188220
K01809,rtp:109913581
K01809,cpla:122542528
K01809,hoc:132834739
K01809,leri:129713476
K01809,pmrn:116953138
K01809,lrj:133347620
K01809,bfo:118403832
K01809,bfo:118428177
K01809,bbel:109461573
K01809,bbel:109463962
K01809,cin:100179626
K01809,sclv:120326244
K01809,spu:574815
K01809,lpic:129279665
K01809,aplc:110983619
K01809,ajc:117111514
K01809,sko:100370281
K01809,dme:Dmel_CG8417
K01809,der:6552278
K01809,dse:6607046
K01809,dsi:Dsimw501_GD18644
K01809,dya:Dyak_GE25982
K01809,dan:6505682
K01809,dsr:110191823
K01809,dpo:4801512
K01809,dpe:6587855
K01809,dmn:108155367
K01809,dwi:6646960
K01809,dgr:6568394
K01809,dmo:Dmoj_GI22736
K01809,daz:108618486
K01809,dnv:108659240
K01809,dhe:111602721
K01809,dvi:6630047
K01809,ccat:101449866
K01809,ccat:105665330
K01809,bod:106624011
K01809,bod:106624648
K01809,bdr:105224220
K01809,bdr:105222613
K01809,rze:108358817
K01809,tda:119680274
K01809,tda:119681135
K01809,tda:119681983
K01809,mde:101887315
K01809,scac:106081823
K01809,lcq:111674584
K01809,lsq:119616456
K01809,gfs:119641710
K01809,ecoe:129941532
K01809,clon:129608830
K01809,his:119651669
K01809,aga:1272223
K01809,acoz:120952786
K01809,aara:120906585
K01809,amer:121596954
K01809,aste:118509495
K01809,afun:125765817
K01809,amou:128306350
K01809,aali:118457877
K01809,aag:5574331
K01809,aalb:109431143
K01809,aalb:115256574
K01809,cqu:CpipJ_CPIJ006375
K01809,cpii:120413306
K01809,cns:116341575
K01809,bcoo:119085629
K01809,ame:551447
K01809,acer:107995493
K01809,alab:122710895
K01809,adr:102677405
K01809,aflr:100864840
K01809,bim:100740956
K01809,bbif:117212910
K01809,bvk:117233702
K01809,bvan:117158972
K01809,bter:100647034
K01809,baff:126926547
K01809,bpyo:122571480
K01809,bpas:132909158
K01809,fvi:122534050
K01809,ccal:108628355
K01809,obb:114880444
K01809,mgen:117217407
K01809,nmea:116426081
K01809,cgig:122401100
K01809,soc:105196018
K01809,mpha:105831422
K01809,aec:105151845
K01809,acep:105617589
K01809,pbar:105430402
K01809,vem:105556928
K01809,hst:105185142
K01809,dqu:106742640
K01809,cfo:105255302
K01809,fex:115234422
K01809,lhu:105670943
K01809,pgc:109863188
K01809,obo:105278401
K01809,pcf:106788237
K01809,pfuc:122517608
K01809,vps:122627285
K01809,vcrb:124432737
K01809,nvi:100119215
K01809,csol:105368250
K01809,tpre:106656530
K01809,lht:122497616
K01809,lbd:127286929
K01809,mdl:103577175
K01809,cglo:123261132
K01809,fas:105267160
K01809,fas:105273047
K01809,dam:107039293
K01809,agif:122847537
K01809,agif:122847538
K01809,cins:118064537
K01809,vcan:122415637
K01809,ccin:107268764
K01809,dsm:124411539
K01809,npt:124218748
K01809,nfb:124183249
K01809,nlo:107224947
K01809,nvg:124305889
K01809,tca:663970
K01809,dpa:109540591
K01809,soy:115890960
K01809,agrg:126746432
K01809,atd:109606852
K01809,cset:123309308
K01809,agb:108908630
K01809,ldc:111502515
K01809,nvl:108565780
K01809,apln:108732812
K01809,ppyr:116181723
K01809,otu:111428472
K01809,bmor:101739279
K01809,bman:114239924
K01809,msex:115445582
K01809,dpl:KGM_210989
K01809,bany:112057762
K01809,mju:123869080
K01809,niq:126772698
K01809,vcd:124535299
K01809,mcix:123657786
K01809,pmac:106711445
K01809,ppot:106104309
K01809,pxu:106122357
K01809,prap:110992152
K01809,pbx:123708756
K01809,pnap:125049663
K01809,zce:119838807
K01809,ccrc:123694897
K01809,lsin:126966728
K01809,haw:110379911
K01809,hze:124634357
K01809,tnl:113505855
K01809,sliu:111356087
K01809,ofu:114360202
K01809,pxy:105384907
K01809,pgw:126370085
K01809,cfel:113370825
K01809,ccrn:123291439
K01809,api:100158749
K01809,dnx:107173759
K01809,ags:114124641
K01809,rmd:113551243
K01809,acoo:126835032
K01809,dvt:126904632
K01809,btab:109043061
K01809,dci:103509837
K01809,clec:106660868
K01809,hhal:106680669
K01809,hhal:106686100
K01809,hhal:106686101
K01809,hhal:106686103
K01809,hhal:106686106
K01809,hhal:106687461
K01809,nlu:111062075
K01809,hvi:124361951
K01809,mqu:128981981
K01809,mqu:128988872
K01809,phu:Phum_PHUM044270
K01809,foc:113206434
K01809,tpal:117650568
K01809,zne:110834003
K01809,csec:111867411
K01809,sgre:126267072
K01809,iel:124154039
K01809,fcd:110856170
K01809,dpx:DAPPUDRAFT_128126
K01809,dmk:116919493
K01809,dpz:124312121
K01809,pvm:113805507
K01809,pja:122253515
K01809,pchn:125041382
K01809,pmoo:119592173
K01809,pmoo:119592177
K01809,hame:121868580
K01809,pcla:123770656
K01809,cqd:128690549
K01809,ptru:123498850
K01809,esn:127000372
K01809,hazt:108673196
K01809,eaf:111700334
K01809,lsm:121117944
K01809,tcf:131891731
K01809,ppoi:119109637
K01809,ppoi:119110410
K01809,dsv:119442183
K01809,rsan:119377479
K01809,rsan:119387807
K01809,vde:111254903
K01809,vja:111260673
K01809,tut:107361251
K01809,tut:112538471
K01809,dpte:113797801
K01809,dpte:113799882
K01809,dfr:124492203
K01809,cscu:111641784
K01809,ptep:107453041
K01809,sdm:118189629
K01809,lpol:106470629
K01809,pmeo:129583242
K01809,cel:CELE_ZK632.4
K01809,cel:CELE_C05C8.7
K01809,cbr:CBG_19118
K01809,cbr:CBG_09990
K01809,crq:GCK72_009521
K01809,crq:GCK72_017310
K01809,nai:NECAME_12925
K01809,nai:NECAME_00590
K01809,bmy:BM_BM1963
K01809,bmy:BM_BM13978
K01809,loa:LOAG_01312
K01809,loa:LOAG_01345
K01809,tsp:Tsp_04037
K01809,hro:HELRODRAFT_166495
K01809,lgi:LOTGIDRAFT_109203
K01809,pvul:126830869
K01809,pcan:112555878
K01809,bgt:106064898
K01809,gae:121370980
K01809,hrf:124114571
K01809,hrj:124288092
K01809,crg:105337494
K01809,cvn:111132784
K01809,cvn:111132797
K01809,cvn:111133304
K01809,canu:128181741
K01809,oed:125658750
K01809,myi:110465320
K01809,pmax:117342743
K01809,mcaf:127698278
K01809,mmer:123554382
K01809,rphi:132724783
K01809,dpol:127836198
K01809,obi:106868451
K01809,osn:115209304
K01809,lak:106157461
K01809,lak:106178737
K01809,smm:Smp_089590
K01809,shx:MS3_00009407
K01809,ovi:T265_05690
K01809,egl:EGR_07289
K01809,nve:5509476
K01809,epa:110244224
K01809,aten:116301639
K01809,adf:107331918
K01809,amil:114956687
K01809,pdam:113676358
K01809,spis:111332074
K01809,dgt:114531949
K01809,xen:124446133
K01809,hmg:100212385
K01809,hsy:130636272
K01809,tad:TRIADDRAFT_30639
K01809,aqu:100637009
K01809,aqu:105315469
K01809,ath:AT1G67070
K01809,ath:AT3G02570
K01809,aly:9323164
K01809,aly:9318306
K01809,crb:17892118
K01809,crb:17895185
K01809,csat:104701306
K01809,csat:104744335
K01809,csat:104750503
K01809,csat:104763873
K01809,csat:104776610
K01809,csat:104787711
K01809,eus:EUTSA_v10020776mg
K01809,eus:EUTSA_v10018552mg
K01809,brp:103843385
K01809,brp:103852367
K01809,brp:103870907
K01809,bna:106366405
K01809,bna:106381063
K01809,bna:106387286
K01809,bna:106391840
K01809,bna:106366807
K01809,bna:125575642
K01809,bna:125609180
K01809,boe:106296034
K01809,boe:106322610
K01809,boe:106339344
K01809,rsz:108813024
K01809,rsz:108863363
K01809,rsz:130495136
K01809,rsz:108813370
K01809,rsz:108836645
K01809,thj:104805568
K01809,thj:104808353
K01809,thj:104820945
K01809,cpap:110826104
K01809,cit:102627119
K01809,cit:102609674
K01809,cic:CICLE_v10011731mg
K01809,cic:CICLE_v10017881mg
K01809,pvy:116105985
K01809,pvy:116139111
K01809,minc:123198431
K01809,minc:123214184
K01809,minc:123225842
K01809,tcc:18602044
K01809,gra:105763139
K01809,gra:105803586
K01809,ghi:107912733
K01809,ghi:107916682
K01809,ghi:107935810
K01809,ghi:121224659
K01809,gab:108472590
K01809,gab:108479962
K01809,hsyr:120119726
K01809,hsyr:120144717
K01809,hsyr:120177064
K01809,hsyr:120186409
K01809,hsyr:120190046
K01809,hsyr:120196632
K01809,hsyr:120199155
K01809,hsyr:120199946
K01809,dzi:111305749
K01809,dzi:111313629
K01809,dzi:111313634
K01809,egr:104449434
K01809,gmx:100815644
K01809,gmx:100792369
K01809,gmx:100805195
K01809,gmx:100792869
K01809,gsj:114381945
K01809,gsj:114396828
K01809,gsj:114398560
K01809,gsj:114398564
K01809,gsj:114423846
K01809,pvu:PHAVU_008G006200g
K01809,vra:106759217
K01809,var:108321702
K01809,vun:114185027
K01809,vum:124848296
K01809,ccaj:109787821
K01809,ccaj:109806111
K01809,aprc:113863700
K01809,aprc:113866533
K01809,mtr:25497434
K01809,tpra:123890721
K01809,cam:101497801
K01809,psat:127128726
K01809,vvo:131608752
K01809,lja:Lj0g3v0344639.1
K01809,adu:107486895
K01809,aip:107635725
K01809,ahf:112744962
K01809,ahf:112798248
K01809,lang:109329637
K01809,pcin:129293106
K01809,pcin:129293626
K01809,fve:105351470
K01809,fve:101296775
K01809,rcn:112180161
K01809,rcn:112195923
K01809,rcn:112197551
K01809,pper:18792047
K01809,pper:18783561
K01809,pmum:103341504
K01809,pmum:103342658
K01809,pavi:110764101
K01809,pavi:110768341
K01809,pdul:117615511
K01809,pdul:117622057
K01809,mdm:103402682
K01809,mdm:103405684
K01809,mdm:103444130
K01809,mdm:103451636
K01809,msyl:126582272
K01809,msyl:126596481
K01809,msyl:126608800
K01809,msyl:126612150
K01809,pxb:103934628
K01809,pxb:103937460
K01809,pxb:103947117
K01809,pxb:103947741
K01809,pxb:103948500
K01809,zju:107419706
K01809,zju:107417245
K01809,mnt:21383933
K01809,mnt:21385942
K01809,csav:115722501
K01809,csv:101220595
K01809,csv:101223130
K01809,cmo:103496801
K01809,cmo:103482535
K01809,bhj:120067589
K01809,bhj:120068104
K01809,mcha:111010321
K01809,mcha:111013172
K01809,cmax:111470445
K01809,cmax:111482189
K01809,cmax:111489838
K01809,cmax:111492565
K01809,cmos:111429906
K01809,cmos:111441358
K01809,cmos:111442039
K01809,cmos:111444656
K01809,cmos:111452034
K01809,cpep:111776514
K01809,cpep:111787476
K01809,cpep:111789871
K01809,cpep:111808100
K01809,rcu:8260378
K01809,rcu:8286633
K01809,jcu:105642048
K01809,hbr:110637843
K01809,hbr:110661121
K01809,mesc:110609069
K01809,mesc:110618621
K01809,pop:7456827
K01809,pop:18099486
K01809,peu:105123380
K01809,peu:105133000
K01809,palz:118029730
K01809,palz:118055974
K01809,jre:108988135
K01809,cill:122302816
K01809,cave:132182367
K01809,qsu:111999536
K01809,qsu:112019041
K01809,qlo:115965308
K01809,qlo:115975790
K01809,twl:119987451
K01809,twl:119998687
K01809,vvi:100263511
K01809,vri:117931039
K01809,sly:101265246
K01809,sly:101267184
K01809,sly:101256451
K01809,spen:107008963
K01809,spen:107011299
K01809,spen:107021441
K01809,sot:102602821
K01809,sot:102590805
K01809,sot:102580489
K01809,sstn:125846851
K01809,sstn:125852963
K01809,sstn:125872102
K01809,sdul:129872288
K01809,sdul:129874175
K01809,sdul:129900772
K01809,cann:107858573
K01809,cann:107860056
K01809,cann:107868129
K01809,lbb:132618741
K01809,lbb:132622891
K01809,lbb:132625087
K01809,nta:107771722
K01809,nta:107772367
K01809,nta:107789518
K01809,nta:107797458
K01809,nta:107802884
K01809,nta:107812706
K01809,nsy:104210078
K01809,nsy:104218127
K01809,nsy:104244933
K01809,nto:104088552
K01809,nto:104091434
K01809,nto:104110589
K01809,nau:109224778
K01809,nau:109228597
K01809,nau:109239584
K01809,ini:109177876
K01809,ini:109168521
K01809,itr:116000460
K01809,itr:116012605
K01809,sind:105176157
K01809,sind:105177936
K01809,oeu:111382777
K01809,oeu:111408983
K01809,egt:105961306
K01809,egt:105974199
K01809,sspl:121747893
K01809,sspl:121774024
K01809,sspl:121777498
K01809,sspl:121786082
K01809,sspl:121789287
K01809,smil:131001590
K01809,smil:131023855
K01809,smil:131023949
K01809,apan:127242433
K01809,apan:127248637
K01809,han:110889802
K01809,han:110895391
K01809,han:110910896
K01809,ecad:122578149
K01809,ecad:122587307
K01809,ecad:122601593
K01809,lsv:111917912
K01809,lsv:111919613
K01809,ccav:112503987
K01809,ccav:112519161
K01809,ccav:112524950
K01809,dcr:108196171
K01809,dcr:108223562
K01809,csin:114261398
K01809,csin:114322407
K01809,rvl:131298966
K01809,rvl:131304643
K01809,aew:130752552
K01809,aew:130769139
K01809,aew:130773986
K01809,bvg:104906170
K01809,soe:110801609
K01809,cqi:110720393
K01809,atri:130802283
K01809,atri:130804013
K01809,mof:131168088
K01809,nnu:104602920
K01809,ming:122058633
K01809,ming:122072774
K01809,ming:122088536
K01809,tss:122645589
K01809,tss:122645590
K01809,tss:122656583
K01809,tss:122666314
K01809,psom:113275385
K01809,psom:113282235
K01809,psom:113299439
K01809,psom:113302736
K01809,osa:4350861
K01809,osa:4325991
K01809,dosa:Os01t0127900-01
K01809,dosa:Os11t0600900-01
K01809,obr:102699629
K01809,obr:102715068
K01809,ogl:127753949
K01809,ogl:127761194
K01809,ogl:127784225
K01809,bdi:100835530
K01809,bdi:100843298
K01809,ats:109749832
K01809,ats:109770599
K01809,tdc:119266807
K01809,tdc:119274470
K01809,tdc:119285931
K01809,tdc:119295786
K01809,tdc:119366066
K01809,taes:123059962
K01809,taes:123068341
K01809,taes:123076890
K01809,taes:123086117
K01809,taes:123091863
K01809,taes:123097053
K01809,tua:125542444
K01809,tua:125551308
K01809,tua:125551310
K01809,lper:127295258
K01809,lper:127340959
K01809,lrd:124661023
K01809,lrd:124698916
K01809,lrd:124698964
K01809,sbi:8084585
K01809,sbi:110433293
K01809,sbi:8074345
K01809,zma:100272536
K01809,zma:100272600
K01809,zma:100281365
K01809,sita:101763679
K01809,sita:101752538
K01809,svs:117858406
K01809,svs:117866185
K01809,pvir:120643124
K01809,pvir:120644847
K01809,pvir:120673261
K01809,pvir:120685316
K01809,pvir:120706128
K01809,pvir:120713292
K01809,phai:112893689
K01809,phai:112902007
K01809,pda:103712885
K01809,pda:103719562
K01809,egu:105041232
K01809,egu:105048424
K01809,mus:103992093
K01809,mus:103971338
K01809,zof:121980565
K01809,zof:122002300
K01809,zof:122006556
K01809,zof:122037998
K01809,dct:110114915
K01809,peq:110023626
K01809,aof:109829149
K01809,aof:109845521
K01809,msin:131234710
K01809,ncol:116264863
K01809,atr:18432144
K01809,smo:SELMODRAFT_125724
K01809,smo:SELMODRAFT_129293
K01809,ppp:112283906
K01809,ppp:112293500
K01809,cre:CHLRE_02g147650v5
K01809,vcn:VOLCADRAFT_65163
K01809,csl:COCSUDRAFT_44335
K01809,csl:COCSUDRAFT_44336
K01809,csl:COCSUDRAFT_30417
K01809,cvr:CHLNCDRAFT_139231
K01809,apro:F751_1852
K01809,olu:OSTLU_3605
K01809,ota:OT_ostta02g04540
K01809,bpg:Bathy02g00270
K01809,mis:MICPUN_86735
K01809,mpp:MICPUCDRAFT_27865
K01809,cme:CYME_CMQ359C
K01809,gsl:Gasu_38450
K01809,ccp:CHC_T00005574001
K01809,sce:YER003C
K01809,seub:DI49_1397
K01809,spao:SPAR_E00720
K01809,ago:AGOS_ADR003C
K01809,erc:Ecym_4481
K01809,kla:KLLA0_D13728g
K01809,kmx:KLMA_50384
K01809,lth:KLTH0F13134g
K01809,vpo:Kpol_312p8
K01809,zro:ZYRO0D09526g
K01809,cgr:CAGL0J02244g
K01809,ncs:NCAS_0A07720
K01809,ndi:NDAI_0H02110
K01809,tpf:TPHA_0L00750
K01809,tbl:TBLA_0E01650
K01809,tgb:HG536_0F03210
K01809,tdl:TDEL_0H03100
K01809,kaf:KAFR_0K01190
K01809,kng:KNAG_0G00980
K01809,zmk:HG535_0F02610
K01809,ppa:PAS_chr3_1115
K01809,dha:DEHA2B09350g
K01809,pic:PICST_72090
K01809,pgu:PGUG_02134
K01809,spaa:SPAPADRAFT_54818
K01809,lel:PVL30_003338
K01809,cal:CAALFM_C209640WA
K01809,ctp:CTRG_01997
K01809,cot:CORT_0C05450
K01809,cdu:CD36_23720
K01809,cten:CANTEDRAFT_115983
K01809,yli:YALI0B18348g
K01809,clu:CLUG_04184
K01809,clus:A9F13_04g03410
K01809,caur:CJI96_0004947
K01809,slb:AWJ20_1851
K01809,pkz:C5L36_0C02740
K01809,bnn:FOA43_001640
K01809,bbrx:BRETT_004864
K01809,opa:HPODL_00814
K01809,slud:SCDLUD_005166
K01809,ncr:NCU07165
K01809,ncr:NCU02322
K01809,nte:NEUTE1DRAFT119344
K01809,nte:NEUTE1DRAFT67472
K01809,smp:SMAC_06928
K01809,smp:SMAC_09165
K01809,pan:PODANSg236
K01809,pan:PODANSg1213
K01809,ttt:THITE_2109233
K01809,ttt:THITE_2130100
K01809,mtm:MYCTH_2303016
K01809,mtm:MYCTH_2308120
K01809,cthr:CTHT_0040500
K01809,mgr:MGG_10677
K01809,ppei:PpBr36_10709
K01809,pgri:PgNI_00089
K01809,tmn:UCRPA7_262
K01809,ssck:SPSK_09236
K01809,fgr:FGSG_04481
K01809,fgr:FGSG_05330
K01809,fpu:FPSE_08282
K01809,fpu:FPSE_07158
K01809,fpoa:FPOAC1_006958
K01809,fpoa:FPOAC1_008351
K01809,fvn:FVRRES_07592
K01809,fvn:FVRRES_08921
K01809,fvr:FVEG_04251
K01809,fvr:FVEG_11162
K01809,fox:FOXG_06401
K01809,fox:FOXG_13733
K01809,nhe:NECHADRAFT_66909
K01809,nhe:NECHADRAFT_63158
K01809,ffc:NCS54_00315600
K01809,ffc:NCS54_01078000
K01809,fkr:NCS57_00311200
K01809,fkr:NCS57_01072100
K01809,fmu:J7337_004254
K01809,fmu:J7337_011961
K01809,tre:TRIREDRAFT_58701
K01809,tre:TRIREDRAFT_81700
K01809,trr:M419DRAFT_128048
K01809,trr:M419DRAFT_103699
K01809,maw:MAC_02839
K01809,maw:MAC_03237
K01809,maw:MAC_07720
K01809,maj:MAA_08042
K01809,pchm:VFPPC_10283
K01809,pchm:VFPPC_14570
K01809,cmt:CCM_09643
K01809,amus:LMH87_000100
K01809,plj:VFPFJ_04387
K01809,ptkz:JDV02_007252
K01809,val:VDBG_08406
K01809,val:VDBG_02140
K01809,vda:VDAG_02608
K01809,vda:VDAG_08069
K01809,cfj:CFIO01_05643
K01809,cfj:CFIO01_13540
K01809,clup:CLUP02_11231
K01809,clup:CLUP02_15524
K01809,chig:CH63R_05023
K01809,chig:CH63R_08558
K01809,sapo:SAPIO_CDS2683
K01809,ela:UCREL1_3806
K01809,ela:UCREL1_9001
K01809,pfy:PFICI_03945
K01809,pfy:PFICI_06153
K01809,ssl:SS1G_10384
K01809,ssl:SS1G_01063
K01809,bfu:BCIN_14g00180
K01809,bfu:BCIN_14g03810
K01809,mbe:MBM_06529
K01809,psco:LY89DRAFT_717528
K01809,psco:LY89DRAFT_746551
K01809,glz:GLAREA_03169
K01809,glz:GLAREA_03205
K01809,ani:AN0667.2
K01809,ani:AN1715.2
K01809,afm:AFUA_4G08410
K01809,afm:AFUA_1G13280
K01809,act:ACLA_022150
K01809,act:ACLA_047790
K01809,nfi:NFIA_012230
