pathway_name,pathway_description,ko_id,gene_name,kegg_organism_code,uniprot_id
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,cng:CNAG_04744,cng,J9W0C1
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,scm:SCHCO_02634915,scm,D8QCF3
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,scm:SCHCO_02620263,scm,D8Q279
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,uma:UMAG_06167,uma,A0A0D1BUK2
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,ddi:DDB_G0284685,ddi,Q54PA0
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,tet:TTHERM_00684730,tet,I7MMI6
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,tps:THAPSDRAFT_9679,tps,B8CBZ4
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,ehx:EMIHUDRAFT_52642,ehx,R1ERK6
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01809,ehx:EMIHUDRAFT_52327,ehx,R1BN97
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mcc:100430821,mcc,F6YGD4
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mmu:14120,mmu,P70695
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mmu:14121,mmu,Q9QXD6
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,rno:24362,rno,P19112
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,rno:114508,rno,Q9Z1N1
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,maua:101822404,maua,A0A1U7R351
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,maua:101835605,maua,A0A1U8CGL2
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,hgl:101708632,hgl,A0A0N8ESW0
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,cpoc:100731650,cpoc,A0A286XGR5
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,cpoc:100732473,cpoc,H0V9T9
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,cfa:476300,cfa,A0A8C0ME46
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mpuf:101677003,mpuf,M3Y5K1
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mpuf:101677302,mpuf,M3Y5K9
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,fca:101084578,fca,M3VXP7
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,fca:101084832,fca,M3WB78
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mlf:102426329,mlf,G1NTX0
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,gga:395218,gga,A0A8V0Y0D1
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tgu:100219012,tgu,H0YQP8
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,clv:102090122,clv,A0A2I0MFZ6
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,acs:100561746,acs,A0A803SSG8
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,xla:380220,xla,Q7SZA0
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,xla:100381096,xla,Q66IR7
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,xla:779029,xla,A0A974I195
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,dre:445505,dre,Q68EJ6
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,dre:282672,dre,Q7T337
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,dre:335231,dre,Q6PFT1
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,amex:103033769,amex,A0A8T2KQ05
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,amex:103029226,amex,A0A8B9JAB5
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tru:101069203,tru,H2UTK4
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tru:101079325,tru,H2UTT7
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ola:101156992,ola,A0A3B3HT21
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ola:101160795,ola,H2N2S6
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,pret:103470739,pret,A0A3P9PPL1
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,pret:103473350,pret,A0A3P9Q7Z7
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,nfu:107374907,nfu,A0A8C6L983
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,nfu:107386106,nfu,A0A1A8AY89
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,nfu:107386107,nfu,A0A9D2XNZ4
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,bfo:118409841,bfo,A0A9J7KN57
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,spu:577064,spu,A0A7M7RBZ5
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,dme:Dmel_CG31692,dme,X2JES1
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tca:656164,tca,D6WAS2
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,dpx:DAPPUDRAFT_227042,dpx,E9H3I1
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,cel:CELE_K07A3.1,cel,G5EBJ7
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,nve:5506107,nve,A7SNH7
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tad:TRIADDRAFT_37385,tad,B3RSK4
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,aqu:100638089,aqu,A0A1X7UU22
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ath:AT1G43670,ath,Q9MA79
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ath:AT3G54050,ath,P25851
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ath:AT5G64380,ath,Q9FMF1
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mtr:11430747,mtr,G7IL84
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mtr:11416430,mtr,G7JV43
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mtr:25498664,mtr,A0A072U1Q8
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,mtr:25496103,mtr,G8A0S6
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,osa:4332364,osa,O64422
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,osa:4338912,osa,A7J2C3
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,osa:4325071,osa,Q0JHF8
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,osa:4341770,osa,A0A0P0X080
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,bdi:100833448,bdi,I1GVV8
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,bdi:100821589,bdi,I1HTQ8
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,bdi:100834106,bdi,I1HJ10
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,zma:100273700,zma,B4FUZ3
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,zma:100281068,zma,B6SRX9
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,zma:100216767,zma,B6TSK5
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,zma:100284739,zma,B6TX09
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_76003,smo,D8QTD0
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_232133,smo,D8RRD1
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_102526,smo,D8RVB3
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_174833,smo,D8RW89
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_175079,smo,D8RX96
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_106738,smo,D8S215
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_233607,smo,D8SBY7
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_272310,smo,D8TBY3
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,smo:SELMODRAFT_270139,smo,D8TFK8
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,cre:CHLRE_12g510650v5,cre,A8IKQ0
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,sce:YLR377C,sce,P09201
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ppa:PAS_chr3_0868,ppa,C4R5T8
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ncr:NCU04797,ncr,Q7S6N8
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ani:AN5604.2,ani,G5EAZ6
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,spo:SPBC1198.14c,spo,P09202
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,cne:CNA00470,cne,Q5KQ48
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,cng:CNAG_00057,cng,J9VKH0
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,scm:SCHCO_02607718,scm,D8PVG2
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,uma:UMAG_02703,uma,A0A0D1C717
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ddi:DDB_G0270836,ddi,Q6RYT0
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tet:TTHERM_00058590,tet,I7MDC9
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tet:TTHERM_01035580,tet,Q24IA2
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tps:THAPSDRAFT_256250,tps,B8BXS2
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tps:THAPSDRAFT_5601,tps,B8C3D2
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,tps:THAPS_25437,tps,B5YM90
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_420021,ehx,R1FJ80
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_417528,ehx,R1DUE0
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_455501,ehx,R1DGR1
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_229121,ehx,R1F4L0
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_434018,ehx,R1FII8
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_101315,ehx,R1CH63
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_54649,ehx,R1D6R9
1hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K03841,ehx:EMIHUDRAFT_248640,ehx,R1D5P2
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,mcc:714090,mcc,H9ZD06
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,mmu:21991,mmu,P17751
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,rno:500959,rno,Q6SA19
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,rno:24849,rno,P48500
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,maua:101843280,maua,P86216
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,cfa:477711,cfa,P54714
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,mpuf:101680423,mpuf,A0A8U0T224
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,fca:101085900,fca,M3X9A1
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,gga:396435,gga,P00940
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,tgu:100190753,tgu,B5KFL8
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,acs:100565792,acs,H9GAG2
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,xla:380168,xla,Q7ZWN5
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,xla:108696046,xla,A0A1L8FIG2
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,dre:192309,dre,Q1MTI4
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,dre:560753,dre,Q90XG0
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,amex:103040446,amex,A0A3B1IXW8
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,amex:103043519,amex,A0A8B9GZ97
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,tru:101068825,tru,H2TD56
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ola:101165489,ola,H2LPP4
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ola:100049499,ola,H2MB61
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,nfu:107379470,nfu,A0A1A8A8E2
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,bfo:118430375,bfo,A0A9J7MAR4
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,cin:100183090,cin,F6RID7
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,spu:548616,spu,A0A7M6UF05
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,dme:Dmel_CG2171,dme,P29613
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,tca:664393,tca,D2A042
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,hmg:100206393,hmg,T2MEH2
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,tad:TRIADDRAFT_38509,tad,B3SCI7
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ath:AT2G21170,ath,Q9SKP6
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ath:AT3G55440,ath,P48491
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,mtr:25499344,mtr,A0A072U2W1
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,mtr:25487887,mtr,I3S3S0
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,osa:4347691,osa,A0A0N7KR63
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,osa:4327400,osa,A0A0N7KE16
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,osa:4325211,osa,P48494
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,bdi:100842850,bdi,I1HC04
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,bdi:100829343,bdi,I1IS83
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,zma:100191222,zma,B4FTJ0
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,zma:100193000,zma,A0A1D6ETY2
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,zma:100194114,zma,B4FHH4
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,zma:100272481,zma,P12863
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,zma:100280823,zma,B6SMQ5
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,smo:SELMODRAFT_73442,smo,D8QR59
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,smo:SELMODRAFT_87313,smo,D8QR59
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,smo:SELMODRAFT_157971,smo,D8SSS6
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,smo:SELMODRAFT_447410,smo,D8SZK9
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,cre:CHLRE_01g029300v5,cre,Q5S7Y5
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,sce:YDR050C,sce,P00942
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ppa:PAS_chr3_0951,ppa,C4R626
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ncr:NCU07550,ncr,Q7S2Z9
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ncr:NCU10106,ncr,A7UWK5
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ani:AN5908.2,ani,Q5B0M2
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ani:AN6900.2,ani,P04828
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,spo:SPCC24B10.21,spo,P07669
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,cne:CNE05000,cne,Q5KG36
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,cng:CNAG_02035,cng,J9VT31
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,scm:SCHCO_02642095,scm,D8QM05
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,uma:UMAG_03299,uma,A0A0D1DYK6
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ddi:DDB_G0274471,ddi,Q869R8
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,tet:TTHERM_00185230,tet,Q22T89
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,tps:THAPS_30380,tps,B5YLS7
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ehx:EMIHUDRAFT_438339,ehx,R1BGG4
2hsa00051,Fructose and mannose metabolism - Homo sapiens (human),K01803,ehx:EMIHUDRAFT_446527,ehx,R1BAE6
,Fructose and mannose metabolism - Homo sapiens (human),K17497,mcc:709122,mcc,A0A1D5QBK6
,Fructose and mannose metabolism - Homo sapiens (human),K17497,mcc:707866,mcc,H9FVY1
,Fructose and mannose metabolism - Homo sapiens (human),K17497,mmu:29858,mmu,O35621
,Fructose and mannose metabolism - Homo sapiens (human),K17497,mmu:54128,mmu,Q9Z2M7
,Fructose and mannose metabolism - Homo sapiens (human),K17497,rno:300089,rno,A6HT35
,Fructose and mannose metabolism - Homo sapiens (human),K17497,rno:302915,rno,B5DF46
,Fructose and mannose metabolism - Homo sapiens (human),K17497,maua:101822891,maua,A0A1U7RD08
,Fructose and mannose metabolism - Homo sapiens (human),K17497,hgl:101704182,hgl,G5BPP9
,Fructose and mannose metabolism - Homo sapiens (human),K17497,cpoc:100716730,cpoc,A0A286XCJ4
,Fructose and mannose metabolism - Homo sapiens (human),K17497,cpoc:100725878,cpoc,A0A286Y5U0
,Fructose and mannose metabolism - Homo sapiens (human),K17497,mpuf:101675584,mpuf,M3YTG9
,Fructose and mannose metabolism - Homo sapiens (human),K17497,mpuf:101680446,mpuf,M3YY77
,Fructose and mannose metabolism - Homo sapiens (human),K17497,fca:101080900,fca,A0A2I2UX50
,Fructose and mannose metabolism - Homo sapiens (human),K17497,mlf:102426735,mlf,G1NY02
,Fructose and mannose metabolism - Homo sapiens (human),K17497,gga:427679,gga,Q5ZJ50
,Fructose and mannose metabolism - Homo sapiens (human),K17497,clv:102086674,clv,A0A2I0M477
,Fructose and mannose metabolism - Homo sapiens (human),K17497,acs:100557563,acs,G1KD11
,Fructose and mannose metabolism - Homo sapiens (human),K17497,xla:444370,xla,Q6GNE0
,Fructose and mannose metabolism - Homo sapiens (human),K17497,xla:447608,xla,Q66IS4
,Fructose and mannose metabolism - Homo sapiens (human),K17497,xla:495465,xla,Q5U4M6
,Fructose and mannose metabolism - Homo sapiens (human),K17497,dre:368229,dre,Q7ZTZ3
,Fructose and mannose metabolism - Homo sapiens (human),K17497,dre:100007686,dre,A0A8M1RII2
,Fructose and mannose metabolism - Homo sapiens (human),K17497,amex:103032981,amex,A0A8B9KMY0
,Fructose and mannose metabolism - Homo sapiens (human),K17497,ola:101169859,ola,H2MGQ1
,Fructose and mannose metabolism - Homo sapiens (human),K17497,nfu:107376315,nfu,A0A1A7Z9G6
,Fructose and mannose metabolism - Homo sapiens (human),K17497,nfu:107394455,nfu,A0A1A7ZBR8
,Fructose and mannose metabolism - Homo sapiens (human),K17497,bfo:118429743,bfo,C3YWF0
,Fructose and mannose metabolism - Homo sapiens (human),K17497,spu:588721,spu,A0A7M7PU49
,Fructose and mannose metabolism - Homo sapiens (human),K17497,dme:Dmel_CG10688,dme,Q9VTZ6
,Fructose and mannose metabolism - Homo sapiens (human),K17497,tca:659192,tca,D6WXJ2
,Fructose and mannose metabolism - Homo sapiens (human),K17497,dpx:DAPPUDRAFT_299547,dpx,E9HCF1
,Fructose and mannose metabolism - Homo sapiens (human),K17497,dpx:DAPPUDRAFT_69879,dpx,E9I3U1
,Fructose and mannose metabolism - Homo sapiens (human),K17497,cel:CELE_F52B11.2,cel,Q9XUE6
,Fructose and mannose metabolism - Homo sapiens (human),K17497,nve:5520113,nve,A7RKH5
,Fructose and mannose metabolism - Homo sapiens (human),K17497,hmg:100208165,hmg,A0A8B6XQU1
,Fructose and mannose metabolism - Homo sapiens (human),K17497,tad:TRIADDRAFT_52968,tad,B3RMY2
,Fructose and mannose metabolism - Homo sapiens (human),K17497,aqu:100639718,aqu,A0A1X7VQ42
,Fructose and mannose metabolism - Homo sapiens (human),K17497,ath:AT2G45790,ath,O80840
,Fructose and mannose metabolism - Homo sapiens (human),K17497,mtr:11436930,mtr,G7L3I4
,Fructose and mannose metabolism - Homo sapiens (human),K17497,osa:4337437,osa,Q7XPW5
,Fructose and mannose metabolism - Homo sapiens (human),K17497,bdi:100829669,bdi,C8CK18
,Fructose and mannose metabolism - Homo sapiens (human),K17497,zma:100272867,zma,B4FR89
,Fructose and mannose metabolism - Homo sapiens (human),K17497,smo:SELMODRAFT_163852,smo,D8QQJ2
,Fructose and mannose metabolism - Homo sapiens (human),K17497,smo:SELMODRAFT_86440,smo,D8R8D7
,Fructose and mannose metabolism - Homo sapiens (human),K17497,sce:YFL045C,sce,P07283
